ImageName,Score,True label
10013_left.jpeg, 0.3419,0
10013_right.jpeg, 0.3419,0
10014_left.jpeg, 0.1591,0
10014_right.jpeg, 0.1591,0
10017_left.jpeg, 0.9879,1
10017_right.jpeg, 0.9879,1
10032_left.jpeg, 0.1268,0
10032_right.jpeg, 0.1268,0
10035_left.jpeg, 0.2834,0
10035_right.jpeg, 0.2834,0
10046_left.jpeg, 0.1148,0
10046_right.jpeg, 0.1148,0
10047_left.jpeg, 0.9944,1
10047_right.jpeg, 0.9944,1
10050_left.jpeg, 0.1592,0
10050_right.jpeg, 0.1592,0
10053_left.jpeg, 0.0988,0
10053_right.jpeg, 0.0988,0
10065_left.jpeg, 0.1769,0
10065_right.jpeg, 0.1769,0
1011_left.jpeg, 0.8147,0
1011_right.jpeg, 0.8147,0
10130_left.jpeg, 0.1081,0
10130_right.jpeg, 0.1081,0
10134_left.jpeg, 0.1568,0
10134_right.jpeg, 0.1568,0
10154_left.jpeg, 0.1619,0
10154_right.jpeg, 0.1619,0
10155_left.jpeg, 0.1643,0
10155_right.jpeg, 0.1643,0
10162_left.jpeg, 0.1252,0
10162_right.jpeg, 0.1252,0
10182_left.jpeg, 0.1811,0
10182_right.jpeg, 0.1811,0
10193_left.jpeg, 0.9851,1
10193_right.jpeg, 0.9851,1
10199_left.jpeg, 0.1783,0
10199_right.jpeg, 0.1783,0
10218_left.jpeg, 0.3655,0
10218_right.jpeg, 0.3655,0
1021_left.jpeg, 0.9207,0
1021_right.jpeg, 0.9207,0
10221_left.jpeg, 0.9518,0
10221_right.jpeg, 0.9518,1
10250_left.jpeg, 0.9950,1
10250_right.jpeg, 0.9950,1
10255_left.jpeg, 0.8318,0
10255_right.jpeg, 0.8318,0
10263_left.jpeg, 0.2582,0
10263_right.jpeg, 0.2582,0
10265_left.jpeg, 0.2642,0
10265_right.jpeg, 0.2642,0
10292_left.jpeg, 0.1675,0
10292_right.jpeg, 0.1675,0
10295_left.jpeg, 0.6095,0
10295_right.jpeg, 0.6095,0
10297_left.jpeg, 0.6083,1
10297_right.jpeg, 0.6083,1
10303_left.jpeg, 0.3055,0
10303_right.jpeg, 0.3055,1
10320_left.jpeg, 0.9608,1
10320_right.jpeg, 0.9608,1
10328_left.jpeg, 0.2274,0
10328_right.jpeg, 0.2274,0
10340_left.jpeg, 0.2368,0
10340_right.jpeg, 0.2368,0
10369_left.jpeg, 0.1046,0
10369_right.jpeg, 0.1046,0
10388_left.jpeg, 0.1254,0
10388_right.jpeg, 0.1254,0
10398_left.jpeg, 0.2303,0
10398_right.jpeg, 0.2303,0
10400_left.jpeg, 0.1308,0
10400_right.jpeg, 0.1308,0
10401_left.jpeg, 0.3065,0
10401_right.jpeg, 0.3065,1
10408_left.jpeg, 0.9633,1
10408_right.jpeg, 0.9633,1
10431_left.jpeg, 0.1820,0
10431_right.jpeg, 0.1820,0
10439_left.jpeg, 0.9847,1
10439_right.jpeg, 0.9847,1
10444_left.jpeg, 0.9693,1
10444_right.jpeg, 0.9693,1
10468_left.jpeg, 0.8896,1
10468_right.jpeg, 0.8896,1
